NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"New York Mills city, Minnesota",1205,48043,110700,395,35,5,11,37,55,56,608,27,46060
"West New York town, New Jersey",52485,65913,363800,1079,712,3729,2226,2069,2706,3778,21552,34,79610
"Accord CDP, New York",353,106420,158900,96,4,0,0,0,0,0,129,36,00155
"Adams village, New York",1932,52917,161300,505,12,76,76,51,12,54,891,36,00199
"Adams Center CDP, New York",953,76983,151600,299,39,49,0,0,0,0,490,36,00232
"Addison village, New York",1880,58125,79900,520,0,101,52,7,0,29,760,36,00276
"Afton village, New York",996,56389,91000,252,4,67,33,20,0,31,434,36,00342
"Airmont village, New York",9964,98750,575300,2247,0,147,34,8,93,159,2720,36,00408
"Akron village, New York",2901,42581,169700,690,29,248,237,148,29,0,1472,36,00441
"Akwesasne CDP, New York",4080,-666666666,204300,890,180,48,33,0,0,0,1647,36,00457
"Albany city, New York",99402,52583,186500,13863,2790,14070,7045,3688,2421,1641,49694,36,01000
"Albertson CDP, New York",5006,126360,641800,1620,0,60,0,0,0,94,1801,36,01011
"Albion village, New York",5281,41708,67700,1371,81,249,299,98,62,96,2730,36,01033
"Alden village, New York",2606,64023,156300,767,17,112,59,121,8,34,1199,36,01088
"Alexander village, New York",526,75461,118500,128,0,14,53,0,0,2,215,36,01154
"Alexandria Bay village, New York",1097,43264,119900,403,34,25,146,55,82,29,820,36,01187
"Alfred village, New York",4437,45972,124700,239,9,89,59,25,25,25,478,36,01198
"Allegany village, New York",1903,62045,116600,632,11,91,96,66,0,0,896,36,01286
"Almond village, New York",405,49583,75000,155,2,21,3,7,0,0,191,36,01440
"Altamont village, New York",1704,87500,255900,528,23,45,8,74,15,13,706,36,01517
"Altmar CDP, New York",312,48553,86000,105,0,15,0,0,0,0,145,36,01550
"Altona CDP, New York",774,-666666666,57800,118,0,0,13,0,0,0,131,36,01572
"Amagansett CDP, New York",663,155288,1626600,1649,4,0,0,8,16,0,1706,36,01594
"Amenia CDP, New York",780,66026,239300,262,0,36,54,64,0,0,440,36,01682
"Ames village, New York",163,95469,101800,76,0,0,0,0,0,0,78,36,01737
"Amityville village, New York",9542,92882,430500,2117,412,281,252,96,530,60,3925,36,02044
"Amsterdam city, New York",18218,43164,92900,3420,251,3852,1127,177,189,55,9296,36,02066
"Andes CDP, New York",112,45962,168100,95,0,17,13,0,0,0,125,36,02121
"Andover village, New York",950,56016,63900,385,12,37,19,3,4,0,468,36,02143
"Angelica village, New York",667,51250,67700,264,16,17,17,0,0,0,364,36,02176
"Angola village, New York",2774,64957,133100,732,15,184,69,7,0,20,1068,36,02198
"Angola on the Lake CDP, New York",1550,60000,135200,645,30,0,24,0,0,0,822,36,02220
"Antwerp village, New York",691,51563,126800,245,3,43,15,0,2,25,333,36,02286
"Apalachin CDP, New York",2149,66280,124100,798,0,10,99,19,9,0,944,36,02308
"Aquebogue CDP, New York",1948,133810,508800,905,0,0,0,0,0,0,1035,36,02374
"Arcade village, New York",2168,52203,125400,732,8,138,95,69,19,56,1119,36,02407
"Ardsley village, New York",4984,226218,697300,1187,159,48,11,0,152,46,1694,36,02506
"Argyle village, New York",453,42222,124500,105,2,11,31,45,0,0,202,36,02550
"Arkport village, New York",997,59130,93900,308,0,25,8,2,0,19,424,36,02583
"Arlington CDP, New York",2651,66853,214800,448,18,208,216,78,8,0,1123,36,02616
"Armonk CDP, New York",4477,218175,904800,1217,81,77,0,16,66,32,1551,36,02649
"Asharoken village, New York",654,121993,1088700,365,6,0,0,0,0,0,371,36,02737
"Athens village, New York",1721,68889,226200,607,50,69,78,11,13,48,905,36,02902
"Atlantic Beach village, New York",1347,144077,798600,834,76,16,2,28,0,0,956,36,02968
"Attica village, New York",2084,64483,112600,659,17,118,82,56,26,42,1000,36,03001
"Auburn city, New York",26913,44076,114000,5916,561,2478,1148,564,797,294,13003,36,03078
"Aurora village, New York",741,77292,228700,190,4,1,15,0,0,0,210,36,03188
"Au Sable Forks CDP, New York",330,55417,112100,152,0,15,9,0,0,0,208,36,03254
"Averill Park CDP, New York",1618,101071,223200,563,0,101,62,15,0,70,878,36,03320
"Avoca village, New York",970,57273,78300,291,8,29,31,0,0,0,414,36,03331
"Avon village, New York",3360,77438,160100,958,138,32,47,113,81,57,1426,36,03353
"Babylon village, New York",12181,135974,524900,3627,306,254,280,151,61,94,4891,36,03408
"Bainbridge village, New York",1021,39938,98100,348,0,132,65,14,12,0,577,36,04033
"Baiting Hollow CDP, New York",3090,110764,453200,1354,116,0,35,27,53,42,1702,36,04055
"Baldwin CDP, New York",33352,126329,449400,9533,138,264,60,96,249,154,10798,36,04143
"Baldwinsville village, New York",7739,67038,150700,2139,82,267,66,227,306,342,3546,36,04198
"Ballston Spa village, New York",5510,73993,251900,1496,0,468,354,98,7,35,2516,36,04253
