Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,City
2018-01-01,-8.6,91.69,7.39,0.04,2.59,2.79,"New York, New York"
2018-01-02,-5.79,87.19,7.68,0.03,2.59,2.75,"New York, New York"
2018-01-03,-3.87,67.81,3.69,0.28,2.18,2.76,"New York, New York"
2018-01-04,-2.88,90.69,14.2,58.13,0.3,2.36,"New York, New York"
2018-01-05,-8.74,91.88,12.61,0.1,2.4,2.88,"New York, New York"
2018-01-06,-10.02,95.62,10.37,0.17,2.55,2.92,"New York, New York"
2018-01-07,-9.74,91.19,6.01,0.01,2.42,2.83,"New York, New York"
2018-01-08,-2.09,82.56,7.98,14.19,1.1,2.56,"New York, New York"
2018-01-09,0.91,84.88,6.2,0.03,2.6,2.71,"New York, New York"
2018-01-10,1.05,77.94,3.41,0.02,2.43,2.58,"New York, New York"
2018-01-11,4.78,98.62,4.95,0.28,1.32,2.52,"New York, New York"
2018-01-12,7.84,100.0,8.09,36.76,0.44,2.38,"New York, New York"
2018-01-13,1.86,83.31,9.8,13.48,2.58,2.8,"New York, New York"
2018-01-14,-5.08,75.88,7.88,0.0,3.08,3.09,"New York, New York"
2018-01-15,-3.3,88.56,6.51,0.2,1.97,2.83,"New York, New York"
2018-01-16,1.22,85.0,2.88,0.41,1.58,2.56,"New York, New York"
2018-01-17,0.57,89.62,6.27,7.45,1.07,2.67,"New York, New York"
2018-01-18,-2.96,79.31,7.18,0.0,2.66,2.99,"New York, New York"
2018-01-19,0.09,78.25,5.82,0.0,2.09,2.93,"New York, New York"
2018-01-20,3.44,80.69,6.36,0.0,2.36,2.86,"New York, New York"
2018-01-21,4.44,83.56,3.02,0.02,2.41,2.65,"New York, New York"
2018-01-22,4.84,95.5,2.62,0.62,1.38,2.53,"New York, New York"
2018-01-23,7.81,92.94,7.88,21.19,1.46,2.8,"New York, New York"
2018-01-24,2.08,75.94,7.19,0.02,2.38,3.17,"New York, New York"
2018-01-25,-1.15,65.88,6.61,0.0,3.37,3.36,"New York, New York"
2018-01-26,-0.17,64.25,3.37,0.0,3.14,3.14,"New York, New York"
2018-01-27,4.65,90.94,6.91,0.02,2.68,3.11,"New York, New York"
2018-01-28,6.23,94.12,4.07,7.9,1.02,2.98,"New York, New York"
2018-01-29,3.11,86.69,7.29,1.54,1.73,3.2,"New York, New York"
2018-01-30,-0.29,81.81,7.39,2.59,1.22,2.93,"New York, New York"
2018-01-31,-2.13,71.75,6.5,0.0,3.22,3.38,"New York, New York"
2018-02-01,2.86,86.81,5.48,6.83,1.68,3.02,"New York, New York"
2018-02-02,-2.21,75.44,9.47,15.73,2.56,3.7,"New York, New York"
2018-02-03,-3.71,72.38,6.83,0.0,3.43,3.61,"New York, New York"
