Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,7.26,64.25,4.38,0.0,3.34,4.26
2018-02-01,12.3,77.94,4.77,0.0,2.36,4.86
2018-03-01,17.78,68.38,4.71,0.0,4.85,6.38
2018-04-01,18.62,63.25,4.9,0.0,5.76,7.42
2018-05-01,26.26,66.0,4.05,5.27,6.5,7.86
2018-06-01,29.59,63.62,4.8,0.0,6.92,7.98
2018-07-01,30.86,54.88,3.68,0.0,7.02,7.8
2018-08-01,30.48,56.69,3.91,0.0,6.51,7.24
2018-09-01,25.64,80.5,2.97,5.27,4.32,6.29
2018-10-01,19.85,83.69,4.13,5.27,3.39,5.23
2018-11-01,11.99,75.94,4.29,0.0,3.18,4.36
2018-12-01,10.14,77.06,4.56,5.27,2.74,3.84
,20.12,69.25,4.26,5.27,4.76,6.13
2019-01-01,8.83,77.81,4.24,0.0,3.06,4.18
2019-02-01,11.75,80.12,4.3,0.0,2.93,5.09
2019-03-01,14.19,72.81,4.6,0.0,4.47,6.4
2019-04-01,19.33,73.81,4.88,5.27,5.63,7.39
2019-05-01,23.78,80.69,4.67,5.27,5.22,7.65
2019-06-01,27.06,75.38,3.72,5.27,6.39,7.92
2019-07-01,29.18,64.31,4.01,0.0,7.3,7.88
2019-08-01,32.04,54.38,3.59,0.0,6.54,7.21
2019-09-01,30.19,57.38,3.87,0.0,5.77,6.42
2019-10-01,21.15,59.94,4.48,0.0,4.23,5.37
2019-11-01,13.56,70.5,4.13,0.0,2.99,4.27
2019-12-01,11.27,67.75,3.9,0.0,3.21,3.87
,20.24,69.5,4.2,0.0,4.82,6.14
2020-01-01,12.26,73.06,4.23,0.0,2.98,4.11
2020-02-01,11.35,70.31,4.88,0.0,3.53,5.18
2020-03-01,19.3,76.88,4.41,0.0,3.6,6.14
2020-04-01,19.4,72.75,4.3,5.27,5.35,7.34
2020-05-01,23.88,71.06,4.41,5.27,6.42,7.91
2020-06-01,27.48,66.12,3.95,0.0,6.72,8.07
2020-07-01,30.58,60.88,4.13,0.0,6.75,7.79
2020-08-01,31.37,53.31,3.76,0.0,6.78,7.33
2020-09-01,24.43,75.19,4.34,5.27,4.46,6.17
2020-10-01,20.78,65.12,4.05,0.0,4.46,5.29
2020-11-01,17.45,64.31,3.81,0.0,3.61,4.31
2020-12-01,10.73,66.81,4.27,0.0,3.09,3.87
,20.79,67.94,4.21,0.0,4.82,6.13
2021-01-01,9.82,71.81,4.27,0.85,3.29,4.16
2021-02-01,7.36,72.56,4.86,0.94,3.37,5.11
2021-03-01,16.8,64.69,5.2,0.68,4.96,6.42
2021-04-01,19.94,64.0,4.88,1.8,4.88,7.22
2021-05-01,23.2,80.5,4.42,6.28,4.95,7.67
2021-06-01,26.98,77.31,3.52,3.24,6.25,7.88
2021-07-01,27.8,74.12,3.16,2.75,6.02,7.58
2021-08-01,29.08,69.25,3.38,2.21,6.08,7.15
2021-09-01,27.59,57.06,3.28,1.81,5.82,6.39
2021-10-01,22.52,67.81,3.93,3.63,4.68,5.38
2021-11-01,15.02,70.0,3.91,1.73,3.56,4.33
2021-12-01,16.79,76.75,4.25,0.66,2.72,3.7
,20.33,70.5,4.09,2.23,4.72,6.09
