Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,2.19,72.56,2.35,0.0,2.93,3.62
2018-02-01,11.46,84.12,2.55,5.27,2.71,4.42
2018-03-01,8.79,75.69,2.83,5.27,4.34,5.99
2018-04-01,14.17,73.12,2.73,5.27,5.59,7.31
2018-05-01,22.55,77.88,1.97,5.27,5.98,7.79
2018-06-01,26.48,73.31,1.72,0.0,6.75,8.0
2018-07-01,27.03,69.94,1.64,5.27,6.15,7.76
2018-08-01,26.53,74.31,1.52,5.27,6.02,6.99
2018-09-01,25.51,78.69,2.17,5.27,4.34,5.98
2018-10-01,16.9,81.19,2.09,5.27,3.86,4.91
2018-11-01,8.55,85.5,2.3,5.27,2.67,3.73
2018-12-01,6.98,88.06,2.24,5.27,1.98,3.13
,16.44,77.81,2.17,5.27,4.45,5.81
2019-01-01,5.62,83.44,2.39,5.27,2.62,3.55
2019-02-01,8.99,85.12,2.34,5.27,2.81,4.51
2019-03-01,9.74,80.06,2.38,0.0,4.49,6.03
2019-04-01,16.38,81.0,2.51,5.27,5.32,7.19
2019-05-01,22.71,78.38,2.02,0.0,6.45,7.84
2019-06-01,24.27,75.12,2.0,5.27,6.34,7.92
2019-07-01,27.56,68.19,1.64,5.27,6.37,7.74
2019-08-01,26.69,70.19,1.52,5.27,5.59,7.01
2019-09-01,26.27,63.12,1.73,0.0,5.39,6.07
2019-10-01,19.97,69.19,2.1,5.27,3.63,4.82
2019-11-01,8.37,74.94,2.25,0.0,2.91,3.78
2019-12-01,7.84,82.5,2.38,5.27,2.35,3.17
,17.08,75.88,2.1,5.27,4.53,5.81
2020-01-01,7.44,84.81,2.5,5.27,2.45,3.47
2020-02-01,8.24,86.06,2.69,5.27,2.86,4.53
2020-03-01,13.57,84.62,2.44,0.0,3.73,5.85
2020-04-01,15.23,76.5,2.78,5.27,5.92,7.37
2020-05-01,18.66,81.19,2.25,5.27,5.56,7.96
2020-06-01,23.66,80.06,2.03,0.0,6.27,8.03
2020-07-01,27.32,75.31,1.51,0.0,6.68,7.76
2020-08-01,26.33,78.56,1.56,5.27,5.31,6.98
2020-09-01,21.66,79.31,1.99,5.27,4.41,5.96
2020-10-01,17.94,82.0,1.91,0.0,3.9,4.79
2020-11-01,12.81,80.5,2.18,5.27,3.02,3.73
2020-12-01,5.33,83.5,2.26,5.27,2.55,3.2
,16.55,81.0,2.17,5.27,4.39,5.81
2021-01-01,5.03,85.0,2.2,3.57,2.53,3.5
2021-02-01,5.51,85.62,2.56,4.71,2.86,4.52
2021-03-01,11.95,79.69,2.48,2.72,4.19,5.92
2021-04-01,15.36,73.31,2.54,0.93,6.33,7.33
2021-05-01,20.15,70.25,2.12,1.85,6.18,7.9
2021-06-01,24.58,74.88,1.94,3.98,6.18,8.02
2021-07-01,26.84,70.75,1.68,3.19,6.25,7.51
2021-08-01,26.69,72.5,1.6,3.47,5.89,6.93
2021-09-01,22.94,70.12,1.8,1.89,5.0,6.05
2021-10-01,19.15,71.88,2.04,1.15,3.81,4.84
2021-11-01,9.6,62.62,2.32,0.76,3.44,3.85
2021-12-01,10.79,76.5,2.36,2.0,2.32,3.08
,16.62,74.38,2.13,2.51,4.59,5.79
