Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,-3.38,86.81,7.39,0.0,1.89,2.81
2018-02-01,-2.4,85.12,6.02,5.27,2.19,3.87
2018-03-01,0.96,78.5,5.66,0.0,4.09,5.51
2018-04-01,3.11,77.88,5.5,0.0,4.96,6.95
2018-05-01,14.24,84.75,4.34,5.27,5.68,7.57
2018-06-01,18.41,86.75,4.49,5.27,5.75,7.91
2018-07-01,22.58,79.69,4.0,0.0,6.38,7.77
2018-08-01,23.51,79.25,4.27,5.27,5.21,6.51
2018-09-01,20.11,79.0,4.97,0.0,4.43,5.64
2018-10-01,12.01,79.06,6.28,5.27,2.94,4.19
2018-11-01,3.08,81.75,6.33,0.0,1.63,2.97
2018-12-01,1.48,85.06,5.78,0.0,1.62,2.4
,9.55,81.94,5.41,5.27,3.91,5.35
2019-01-01,-3.64,87.31,7.25,0.0,1.44,2.82
2019-02-01,-3.0,86.94,6.72,0.0,2.18,3.89
2019-03-01,0.12,81.19,5.76,0.0,3.67,5.46
2019-04-01,6.95,82.19,5.94,5.27,4.58,6.79
2019-05-01,11.22,84.94,4.96,5.27,4.88,7.58
2019-06-01,15.88,86.31,4.34,5.27,5.72,7.94
2019-07-01,22.7,82.44,4.2,5.27,6.6,7.71
2019-08-01,22.37,77.5,4.21,0.0,5.61,6.9
2019-09-01,19.94,83.56,4.91,5.27,3.89,5.48
2019-10-01,11.2,81.06,6.1,5.27,2.83,4.23
2019-11-01,2.51,82.75,6.33,0.0,1.88,2.97
2019-12-01,1.68,86.62,6.59,0.0,1.61,2.38
,9.07,83.56,5.6,5.27,3.75,5.35
2020-01-01,-0.19,85.44,6.53,5.27,1.4,2.72
2020-02-01,-1.42,82.75,6.77,0.0,2.48,3.96
2020-03-01,3.06,84.44,5.89,0.0,3.03,5.38
2020-04-01,6.05,81.81,5.33,5.27,4.77,6.97
2020-05-01,11.26,83.81,4.84,5.27,5.56,7.88
2020-06-01,19.24,80.56,4.26,5.27,6.59,8.12
2020-07-01,24.36,78.31,4.08,0.0,6.45,7.8
2020-08-01,23.32,73.06,3.97,0.0,6.02,6.95
2020-09-01,18.67,76.19,5.84,5.27,4.11,5.32
2020-10-01,10.98,74.81,6.2,0.0,2.89,4.11
2020-11-01,7.31,76.88,7.07,0.0,2.3,2.95
2020-12-01,1.22,80.75,6.32,0.0,1.65,2.4
,10.36,79.88,5.59,0.0,3.94,5.38
2021-01-01,-0.6,82.81,6.12,1.36,1.46,2.76
2021-02-01,-4.74,87.62,6.38,0.57,2.61,4.07
2021-03-01,3.88,78.38,6.13,0.85,4.09,5.45
2021-04-01,7.91,77.31,4.99,1.25,4.96,6.86
2021-05-01,12.83,75.38,4.88,2.07,5.45,7.78
2021-06-01,20.83,77.25,4.15,5.25,6.03,7.94
2021-07-01,22.1,78.5,4.34,1.33,5.44,7.18
2021-08-01,24.37,74.56,3.81,2.9,5.7,6.63
2021-09-01,20.76,70.5,5.66,1.35,4.66,5.51
2021-10-01,15.95,79.38,5.68,5.55,2.53,4.05
2021-11-01,6.04,75.81,7.0,0.72,2.08,2.95
2021-12-01,3.52,79.69,6.94,2.07,1.6,2.34
,11.17,78.06,5.5,2.12,3.89,5.3
