Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,-3.5,87.25,3.4,5.27,1.98,2.7
2018-02-01,1.33,88.06,2.9,5.27,2.39,3.75
2018-03-01,1.62,83.38,3.58,5.27,3.6,5.47
2018-04-01,5.76,80.0,2.73,5.27,4.37,6.91
2018-05-01,15.66,80.5,1.99,0.0,5.33,7.65
2018-06-01,18.82,78.56,1.95,5.27,5.99,8.17
2018-07-01,23.64,77.12,1.94,5.27,6.47,7.78
2018-08-01,23.87,81.94,1.92,5.27,5.28,6.62
2018-09-01,20.02,82.12,1.96,5.27,3.5,5.5
2018-10-01,12.04,83.25,2.52,5.27,2.75,4.14
2018-11-01,4.4,86.12,2.85,5.27,1.82,2.88
2018-12-01,0.92,88.44,2.62,5.27,1.75,2.35
,10.44,83.06,2.53,5.27,3.78,5.33
2019-01-01,-2.49,86.06,3.46,5.27,1.96,2.75
2019-02-01,-1.54,86.25,3.03,0.0,2.81,3.86
2019-03-01,1.19,84.06,2.96,0.0,4.01,5.45
2019-04-01,8.86,81.75,2.84,5.27,4.49,6.87
2019-05-01,13.51,81.25,2.25,5.27,5.22,7.75
2019-06-01,19.06,80.38,1.98,5.27,5.9,8.06
2019-07-01,24.37,76.69,1.66,5.27,6.48,7.68
2019-08-01,22.88,73.38,1.88,5.27,5.56,6.89
2019-09-01,19.01,72.06,2.12,0.0,4.62,5.67
2019-10-01,13.35,79.38,2.66,5.27,2.68,4.11
2019-11-01,3.98,80.0,2.75,0.0,2.21,2.93
2019-12-01,0.34,89.44,2.92,5.27,1.42,2.28
,10.28,80.88,2.54,5.27,3.95,5.37
2020-01-01,0.59,85.88,2.93,0.0,1.96,2.67
2020-02-01,0.62,85.69,2.77,0.0,2.64,3.84
2020-03-01,4.7,80.62,3.07,5.27,3.83,5.44
2020-04-01,6.65,79.0,3.23,5.27,4.2,6.93
2020-05-01,12.81,75.38,2.55,0.0,6.29,8.02
2020-06-01,20.29,75.0,1.91,0.0,6.4,8.16
2020-07-01,24.94,73.56,1.9,0.0,6.17,7.73
2020-08-01,24.08,68.69,2.13,0.0,5.35,6.83
2020-09-01,19.05,71.38,2.23,0.0,4.44,5.46
2020-10-01,13.04,78.69,2.41,5.27,2.84,4.02
2020-11-01,8.31,81.88,2.67,5.27,2.15,2.87
2020-12-01,1.48,87.31,3.03,5.27,1.53,2.31
,11.42,78.56,2.57,5.27,3.99,5.36
2021-01-01,-1.91,87.62,3.08,1.53,1.98,2.7
2021-02-01,-1.51,88.25,3.16,2.64,2.19,3.83
2021-03-01,3.22,77.88,3.16,1.7,4.55,5.53
2021-04-01,8.66,76.75,2.77,3.01,4.96,6.91
2021-05-01,14.26,74.0,2.31,4.44,5.85,7.81
2021-06-01,20.58,77.5,2.02,1.61,6.37,8.11
2021-07-01,22.23,83.56,1.82,7.02,4.99,7.35
2021-08-01,23.55,78.38,1.83,4.01,4.65,6.66
2021-09-01,19.55,80.12,2.28,6.53,4.19,5.56
2021-10-01,14.94,81.69,2.41,4.77,2.99,4.1
2021-11-01,5.9,79.0,2.46,1.53,2.42,2.92
2021-12-01,3.07,83.25,2.57,1.7,1.52,2.31
,11.12,80.62,2.48,3.38,3.9,5.32
