Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,-4.26,85.69,5.18,0.0,2.01,3.06
2018-02-01,1.94,85.62,5.17,5.27,2.07,3.98
2018-03-01,1.78,79.06,5.1,0.0,3.92,5.72
2018-04-01,7.01,78.38,4.74,5.27,4.61,7.1
2018-05-01,20.11,81.06,3.94,0.0,5.86,7.56
2018-06-01,22.05,81.94,3.35,5.27,5.85,7.93
2018-07-01,23.46,73.31,2.8,0.0,6.24,7.74
2018-08-01,23.56,75.69,3.24,0.0,5.36,6.77
2018-09-01,21.09,79.19,3.32,5.27,3.89,5.63
2018-10-01,12.58,78.12,4.4,0.0,3.12,4.42
2018-11-01,2.22,85.5,4.31,5.27,1.72,3.19
2018-12-01,0.71,89.94,4.22,5.27,1.5,2.63
,11.07,81.06,4.14,5.27,3.86,5.48
2019-01-01,-3.11,85.69,5.53,0.0,1.56,3.08
2019-02-01,-0.13,87.25,5.34,5.27,2.43,4.11
2019-03-01,2.15,81.25,4.87,5.27,3.54,5.63
2019-04-01,11.07,81.69,4.58,5.27,4.43,6.88
2019-05-01,17.47,83.25,4.12,5.27,5.32,7.64
2019-06-01,20.34,82.25,4.05,5.27,5.7,7.91
2019-07-01,24.08,80.69,2.85,0.0,6.39,7.67
2019-08-01,22.52,73.5,3.25,0.0,5.84,7.0
2019-09-01,22.02,67.69,3.34,0.0,5.13,5.79
2019-10-01,14.07,69.62,4.21,0.0,3.47,4.48
2019-11-01,2.38,77.19,4.28,0.0,2.36,3.28
2019-12-01,1.59,85.94,4.77,0.0,1.57,2.62
,11.26,79.62,4.26,0.0,3.99,5.51
2020-01-01,0.76,84.56,4.85,5.27,1.59,2.96
2020-02-01,-0.24,85.5,4.83,0.0,2.25,4.09
2020-03-01,6.76,82.94,5.04,5.27,3.22,5.56
2020-04-01,8.67,78.5,4.89,5.27,4.65,7.09
2020-05-01,14.63,80.38,4.52,5.27,5.11,7.87
2020-06-01,21.12,77.31,3.55,0.0,6.28,8.11
2020-07-01,25.23,69.38,2.75,0.0,6.72,7.83
2020-08-01,23.18,69.38,2.84,0.0,5.19,6.85
2020-09-01,18.83,69.44,3.58,0.0,4.59,5.56
2020-10-01,12.03,75.0,3.88,5.27,2.9,4.35
2020-11-01,7.12,77.25,4.91,0.0,2.48,3.21
2020-12-01,-0.1,85.38,4.77,0.0,1.52,2.69
,11.54,77.88,4.2,0.0,3.88,5.52
2021-01-01,-1.53,85.62,4.31,1.7,1.61,3.02
2021-02-01,-4.72,89.94,4.92,1.32,2.38,4.19
2021-03-01,6.47,75.56,5.3,2.04,4.45,5.75
2021-04-01,10.51,75.12,4.52,1.99,4.94,7.01
2021-05-01,15.28,73.12,3.61,2.88,5.65,7.89
2021-06-01,22.28,74.81,3.72,2.43,5.92,7.99
2021-07-01,23.35,73.06,3.26,3.87,5.71,7.35
2021-08-01,24.34,70.69,2.73,2.76,5.28,6.69
2021-09-01,19.8,69.44,3.88,2.57,4.6,5.71
2021-10-01,15.79,77.81,3.79,3.09,2.94,4.35
2021-11-01,3.98,77.06,4.34,1.3,2.5,3.3
2021-12-01,3.91,84.12,4.7,3.19,1.57,2.59
,11.73,77.12,4.09,2.44,3.97,5.49
