Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,4.91,64.31,5.09,0.0,3.24,4.0
2018-02-01,8.64,77.94,4.95,10.55,2.37,4.66
2018-03-01,14.8,72.44,4.93,0.0,4.91,6.22
2018-04-01,15.48,68.25,5.29,0.0,5.8,7.34
2018-05-01,25.59,67.5,4.25,0.0,6.41,7.79
2018-06-01,30.5,56.38,4.95,0.0,6.95,7.95
2018-07-01,32.48,47.0,3.57,0.0,6.65,7.66
2018-08-01,29.48,60.06,3.96,0.0,6.23,7.09
2018-09-01,25.52,77.75,3.18,5.27,4.31,6.16
2018-10-01,18.12,83.38,4.0,10.55,3.31,5.06
2018-11-01,9.66,78.25,4.62,0.0,3.18,4.14
2018-12-01,7.7,81.62,4.7,5.27,2.54,3.54
,18.64,69.5,4.45,5.27,4.67,5.97
2019-01-01,5.79,79.25,4.8,0.0,2.72,3.9
2019-02-01,9.0,80.69,4.82,0.0,2.61,4.82
2019-03-01,11.73,72.75,4.97,0.0,4.57,6.22
2019-04-01,17.71,76.81,5.12,5.27,5.33,7.22
2019-05-01,22.46,81.56,4.73,5.27,5.44,7.67
2019-06-01,25.73,80.5,3.88,5.27,6.34,7.92
2019-07-01,28.61,67.69,4.18,0.0,7.15,7.82
2019-08-01,31.29,58.25,3.59,0.0,6.06,7.07
2019-09-01,29.87,56.19,4.11,0.0,5.73,6.22
2019-10-01,19.1,61.0,4.91,5.27,4.07,5.14
2019-11-01,11.0,72.69,4.45,0.0,3.06,4.05
2019-12-01,8.64,73.31,4.12,0.0,2.96,3.57
,18.46,71.62,4.47,0.0,4.68,5.97
2020-01-01,8.95,77.62,4.78,5.27,2.49,3.8
2020-02-01,8.41,74.31,5.22,5.27,3.34,4.89
2020-03-01,16.35,81.62,4.83,5.27,3.47,5.99
2020-04-01,16.8,76.06,4.65,0.0,5.28,7.24
2020-05-01,22.01,77.38,4.7,5.27,6.16,7.88
2020-06-01,26.86,68.5,4.17,5.27,6.97,8.05
2020-07-01,29.84,66.5,3.75,0.0,6.65,7.69
2020-08-01,30.44,54.56,3.7,0.0,6.77,7.23
2020-09-01,23.81,73.88,3.91,5.27,4.49,5.97
2020-10-01,18.36,65.25,4.5,0.0,4.08,5.07
2020-11-01,14.79,67.62,4.49,0.0,3.32,4.06
2020-12-01,8.14,68.62,4.72,5.27,2.76,3.59
,18.76,71.0,4.45,5.27,4.65,5.96
2021-01-01,7.18,75.0,4.6,0.51,2.89,3.9
2021-02-01,4.14,73.0,5.34,1.13,2.98,4.88
2021-03-01,14.78,67.44,5.49,1.53,4.84,6.24
2021-04-01,17.34,66.69,4.98,3.44,5.0,7.18
2021-05-01,21.26,81.81,4.3,6.33,4.75,7.69
2021-06-01,26.18,79.19,3.54,2.58,6.29,7.89
2021-07-01,28.65,69.44,3.2,1.84,6.37,7.53
2021-08-01,29.17,66.31,3.67,3.16,6.09,7.04
2021-09-01,27.52,50.5,3.39,0.62,5.61,6.19
2021-10-01,21.53,62.0,4.6,2.3,4.47,5.16
2021-11-01,13.02,67.69,4.49,1.78,3.49,4.07
2021-12-01,14.57,71.31,4.72,0.35,2.53,3.43
,18.87,69.19,4.36,2.14,4.62,5.94
