Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,4.78,62.25,4.98,0.0,3.45,4.05
2018-02-01,8.0,76.38,4.76,5.27,2.75,4.77
2018-03-01,14.37,71.88,4.87,0.0,5.07,6.29
2018-04-01,15.64,63.56,5.2,0.0,6.01,7.42
2018-05-01,25.87,64.88,4.41,0.0,6.78,7.87
2018-06-01,30.77,54.06,5.06,0.0,7.22,8.03
2018-07-01,32.34,45.88,3.53,0.0,6.79,7.78
2018-08-01,29.2,60.44,3.76,0.0,6.19,7.16
2018-09-01,24.73,79.88,3.11,5.27,4.33,6.24
2018-10-01,17.58,84.69,3.94,10.55,3.34,5.07
2018-11-01,9.17,78.69,4.43,0.0,3.36,4.2
2018-12-01,6.98,81.31,4.56,0.0,2.55,3.59
,18.35,68.62,4.38,5.27,4.83,6.05
2019-01-01,5.45,79.0,4.72,0.0,2.85,3.94
2019-02-01,8.65,79.06,4.73,0.0,2.82,4.94
2019-03-01,11.51,70.06,4.88,0.0,4.72,6.29
2019-04-01,17.94,72.38,5.23,5.27,5.57,7.32
2019-05-01,22.13,80.75,4.79,5.27,5.56,7.72
2019-06-01,26.11,76.31,3.86,5.27,6.59,7.99
2019-07-01,29.34,61.81,4.02,0.0,7.22,7.92
2019-08-01,31.8,54.56,3.63,0.0,6.22,7.14
2019-09-01,29.66,56.06,4.09,0.0,5.79,6.28
2019-10-01,18.68,57.94,5.02,0.0,4.22,5.23
2019-11-01,10.55,72.44,4.28,0.0,3.07,4.11
2019-12-01,8.31,72.06,4.02,0.0,2.96,3.61
,18.4,69.31,4.44,0.0,4.81,6.05
2020-01-01,8.57,77.12,4.69,0.0,2.78,3.86
2020-02-01,7.83,74.31,5.11,0.0,3.53,4.99
2020-03-01,15.82,81.31,4.69,5.27,3.77,6.08
2020-04-01,16.74,73.31,4.73,0.0,5.37,7.35
2020-05-01,22.55,72.38,4.76,5.27,6.46,7.93
2020-06-01,27.15,64.75,4.19,5.27,7.25,8.18
2020-07-01,30.4,61.88,3.77,0.0,6.79,7.81
2020-08-01,31.14,49.56,3.78,0.0,6.9,7.3
2020-09-01,23.39,73.81,3.7,5.27,4.6,6.04
2020-10-01,18.02,63.38,4.52,0.0,4.22,5.11
2020-11-01,14.21,67.31,4.47,0.0,3.45,4.09
2020-12-01,7.78,66.75,4.77,0.0,2.9,3.65
,18.67,68.75,4.43,0.0,4.84,6.03
2021-01-01,6.61,75.38,4.56,0.68,3.03,3.94
2021-02-01,3.85,70.81,5.28,0.94,3.25,4.99
2021-03-01,14.55,64.69,5.56,1.53,5.12,6.31
2021-04-01,17.1,64.44,5.01,3.8,4.99,7.25
2021-05-01,20.97,81.94,4.19,5.75,4.74,7.75
2021-06-01,26.01,79.06,3.51,2.65,6.42,7.99
2021-07-01,28.65,67.88,3.12,1.72,6.6,7.62
2021-08-01,28.94,66.19,3.67,3.36,6.13,7.09
2021-09-01,27.42,49.25,3.34,1.11,5.74,6.26
2021-10-01,20.9,62.81,4.62,2.1,4.59,5.22
2021-11-01,12.87,66.69,4.42,1.34,3.48,4.1
2021-12-01,14.01,67.69,4.59,0.16,2.79,3.53
,18.58,68.06,4.32,2.1,4.75,6.01
