Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,7.63,75.31,3.55,0.0,3.14,4.24
2018-02-01,15.5,86.31,3.58,5.27,2.5,4.79
2018-03-01,18.05,76.75,3.88,5.27,4.88,6.26
2018-04-01,18.65,72.12,3.9,0.0,5.64,7.37
2018-05-01,26.69,68.06,3.12,0.0,6.61,7.79
2018-06-01,29.14,70.38,3.52,5.27,6.49,7.82
2018-07-01,29.35,67.81,2.42,5.27,6.51,7.57
2018-08-01,29.55,68.06,2.7,0.0,6.01,7.17
2018-09-01,26.39,83.25,2.45,5.27,3.7,6.12
2018-10-01,21.37,84.75,3.28,5.27,3.94,5.27
2018-11-01,13.28,81.88,3.48,5.27,3.01,4.3
2018-12-01,11.74,82.69,3.62,5.27,2.71,3.83
,20.64,76.38,3.29,5.27,4.61,6.05
2019-01-01,10.02,83.5,3.51,5.27,3.17,4.17
2019-02-01,13.71,85.56,3.64,0.0,2.47,4.84
2019-03-01,15.34,78.94,3.7,0.0,3.96,6.2
2019-04-01,19.68,78.56,4.07,0.0,5.36,7.17
2019-05-01,24.87,81.12,3.92,5.27,5.41,7.46
2019-06-01,27.69,76.38,2.85,5.27,6.04,7.75
2019-07-01,28.94,71.06,2.9,0.0,6.46,7.71
2019-08-01,30.86,66.25,2.47,0.0,5.62,7.03
2019-09-01,28.69,70.88,3.09,5.27,5.32,6.35
2019-10-01,21.3,74.81,3.4,5.27,4.41,5.3
2019-11-01,14.08,79.06,3.33,0.0,3.06,4.25
2019-12-01,12.53,74.62,3.27,0.0,3.19,3.85
,20.68,76.69,3.34,5.27,4.55,6.01
2020-01-01,13.23,80.38,3.48,5.27,2.76,4.08
2020-02-01,12.62,77.81,3.76,0.0,3.55,5.05
2020-03-01,20.4,80.5,3.8,0.0,3.97,6.11
2020-04-01,20.87,75.06,3.6,0.0,5.08,7.06
2020-05-01,24.62,72.81,3.41,5.27,6.3,7.77
2020-06-01,27.62,71.12,3.22,5.27,6.26,7.87
2020-07-01,28.88,74.81,3.01,0.0,6.06,7.58
2020-08-01,29.75,67.19,2.66,0.0,6.39,7.2
2020-09-01,26.23,73.75,3.45,5.27,4.62,6.2
2020-10-01,21.65,73.94,3.07,0.0,4.44,5.27
2020-11-01,18.56,73.62,3.17,0.0,3.67,4.34
2020-12-01,11.8,79.19,3.53,5.27,2.85,3.81
,21.37,75.0,3.34,0.0,4.67,6.03
2021-01-01,10.87,80.12,3.55,1.53,3.24,4.16
2021-02-01,9.24,81.31,3.88,1.13,3.15,5.08
2021-03-01,17.06,76.19,3.91,1.02,4.54,6.26
2021-04-01,20.55,70.19,4.01,3.62,4.71,7.01
2021-05-01,23.73,83.12,3.7,7.05,5.06,7.56
2021-06-01,27.05,81.94,2.63,4.9,6.01,7.72
2021-07-01,27.29,82.31,2.25,4.5,5.68,7.43
2021-08-01,28.69,75.5,2.38,1.97,5.77,7.04
2021-09-01,26.57,70.62,2.71,3.76,5.15,6.34
2021-10-01,22.86,73.75,2.96,3.34,4.58,5.34
2021-11-01,15.62,77.06,3.05,1.92,3.63,4.34
2021-12-01,18.21,83.31,3.48,1.51,2.71,3.67
,20.72,77.94,3.2,3.03,4.53,6.0
