Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,8.58,79.06,2.56,5.27,3.12,4.06
2018-02-01,17.62,86.44,2.23,0.0,3.76,4.89
2018-03-01,15.22,67.31,2.72,0.0,5.31,6.35
2018-04-01,19.45,73.88,2.69,5.27,5.89,7.33
2018-05-01,24.14,78.0,2.16,5.27,5.74,7.8
2018-06-01,26.76,81.0,1.59,5.27,6.42,7.83
2018-07-01,27.19,82.81,1.75,5.27,5.63,7.63
2018-08-01,27.15,82.44,1.6,5.27,6.03,7.17
2018-09-01,27.21,80.38,1.85,0.0,5.57,6.35
2018-10-01,23.65,73.88,2.43,0.0,4.33,5.26
2018-11-01,16.72,81.44,2.12,5.27,3.06,4.16
2018-12-01,13.56,87.94,2.3,5.27,2.58,3.66
,20.61,79.5,2.16,5.27,4.79,6.05
2019-01-01,11.58,83.25,2.32,5.27,3.32,4.09
2019-02-01,16.9,86.0,2.14,0.0,3.36,4.92
2019-03-01,16.11,77.94,2.39,0.0,5.08,6.27
2019-04-01,21.01,71.38,2.45,0.0,6.09,7.31
2019-05-01,26.84,64.94,2.14,0.0,6.83,7.8
2019-06-01,28.05,71.62,2.16,5.27,6.01,7.79
2019-07-01,28.2,74.81,1.59,5.27,5.8,7.61
2019-08-01,27.83,80.69,1.81,5.27,5.66,7.11
2019-09-01,27.33,72.0,2.57,0.0,5.55,6.38
2019-10-01,24.2,79.44,2.23,5.27,3.93,5.18
2019-11-01,15.19,82.12,2.16,0.0,3.33,4.21
2019-12-01,14.97,85.25,2.55,5.27,2.72,3.64
,21.54,77.44,2.21,5.27,4.81,6.03
2020-01-01,13.71,81.88,2.45,0.0,3.16,3.97
2020-02-01,14.46,81.88,2.5,5.27,3.68,5.0
2020-03-01,20.37,75.81,2.16,0.0,5.23,6.17
2020-04-01,21.24,72.94,2.46,5.27,5.55,7.22
2020-05-01,23.83,68.5,2.34,0.0,6.48,7.91
2020-06-01,26.11,79.06,1.86,5.27,5.84,7.79
2020-07-01,27.87,78.88,1.94,5.27,6.26,7.73
2020-08-01,27.65,81.81,1.67,5.27,5.46,7.05
2020-09-01,25.51,86.25,2.18,5.27,4.55,6.25
2020-10-01,22.98,86.94,2.21,5.27,3.83,5.13
2020-11-01,19.18,85.5,2.49,0.0,3.4,4.18
2020-12-01,11.12,80.88,2.22,0.0,3.05,3.75
,21.19,80.0,2.2,5.27,4.71,6.01
2021-01-01,12.26,82.0,2.32,1.53,3.09,4.03
2021-02-01,14.37,83.62,2.32,5.09,3.52,4.95
2021-03-01,17.58,79.88,2.45,1.87,4.84,6.19
2021-04-01,19.85,69.5,2.23,3.12,6.04,7.31
2021-05-01,24.23,63.69,2.54,0.77,6.71,7.88
2021-06-01,26.75,77.38,2.09,5.81,5.28,7.84
2021-07-01,26.8,84.44,1.8,7.64,5.55,7.55
2021-08-01,27.15,86.56,1.76,7.12,5.08,7.01
2021-09-01,25.19,84.12,1.62,4.87,5.15,6.28
2021-10-01,22.15,84.62,1.87,2.49,4.38,5.23
2021-11-01,14.16,84.56,2.19,2.48,3.35,4.22
2021-12-01,16.58,89.19,2.02,1.72,2.97,3.62
,20.63,80.81,2.1,3.69,4.67,6.01
