Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,14.85,52.0,2.99,0.0,3.19,3.76
2018-02-01,12.83,52.19,2.97,0.0,4.66,4.99
2018-03-01,13.38,64.19,2.88,5.27,4.92,6.34
2018-04-01,15.92,58.12,2.9,0.0,6.94,7.67
2018-05-01,16.65,68.38,2.82,0.0,6.84,8.33
2018-06-01,20.06,56.38,2.55,0.0,8.22,8.75
2018-07-01,25.66,48.0,2.48,0.0,7.72,8.12
2018-08-01,24.45,50.31,2.35,0.0,7.43,7.6
2018-09-01,22.3,51.38,2.22,0.0,6.56,6.71
2018-10-01,19.51,55.88,2.48,0.0,4.88,5.26
2018-11-01,16.55,50.25,2.99,0.0,3.69,4.04
2018-12-01,12.44,62.62,3.02,0.0,2.95,3.45
,17.91,55.88,2.72,0.0,5.67,6.26
2019-01-01,11.8,71.0,3.35,5.27,2.94,3.76
2019-02-01,9.12,77.88,3.8,5.27,3.62,4.91
2019-03-01,12.62,76.25,3.05,5.27,5.18,6.31
2019-04-01,15.57,71.0,2.84,0.0,6.46,7.61
2019-05-01,15.0,77.0,2.9,0.0,6.51,8.35
2019-06-01,19.37,66.69,2.27,0.0,7.67,8.7
2019-07-01,22.73,51.69,2.3,0.0,8.05,8.48
2019-08-01,23.99,42.94,2.23,0.0,7.71,7.83
2019-09-01,23.08,53.12,2.46,0.0,6.23,6.63
2019-10-01,19.76,42.12,2.95,0.0,5.34,5.41
2019-11-01,16.46,49.38,2.62,0.0,3.62,4.05
2019-12-01,11.48,70.06,3.2,5.27,2.54,3.4
,16.79,62.31,2.83,0.0,5.5,6.29
2020-01-01,11.98,67.75,2.96,0.0,3.39,3.8
2020-02-01,13.34,60.44,2.98,0.0,4.66,4.92
2020-03-01,12.24,75.25,3.08,5.27,4.49,6.28
2020-04-01,15.57,72.75,2.95,5.27,6.04,7.53
2020-05-01,18.78,62.94,2.7,0.0,7.99,8.49
2020-06-01,20.11,59.62,2.87,0.0,7.95,8.73
2020-07-01,22.38,52.06,2.27,0.0,8.48,8.59
2020-08-01,25.28,48.5,2.34,0.0,7.24,7.56
2020-09-01,24.82,42.0,2.16,0.0,6.11,6.35
2020-10-01,21.96,47.0,2.42,0.0,4.86,5.15
2020-11-01,15.73,49.75,2.81,0.0,3.81,4.05
2020-12-01,13.19,46.62,3.52,0.0,3.05,3.5
,17.96,57.06,2.76,0.0,5.67,6.25
2021-01-01,12.47,54.88,3.81,1.53,3.26,3.8
2021-02-01,12.78,55.19,3.44,0.0,4.67,5.03
2021-03-01,12.25,60.81,3.13,1.02,5.68,6.46
2021-04-01,16.12,58.12,2.8,0.04,7.02,7.76
2021-05-01,17.59,60.88,2.72,0.04,7.9,8.46
2021-06-01,21.71,50.0,2.54,0.01,8.2,8.65
2021-07-01,24.28,45.81,2.36,0.07,7.69,8.17
2021-08-01,24.01,48.19,2.34,0.03,7.17,7.54
2021-09-01,22.5,50.88,2.23,0.04,6.22,6.47
2021-10-01,18.26,54.56,2.77,0.68,4.74,5.26
2021-11-01,17.51,49.5,2.65,0.0,3.82,4.06
2021-12-01,11.58,67.81,3.08,7.56,2.62,3.44
,17.61,54.75,2.82,0.94,5.75,6.26
