Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,-0.45,84.81,6.71,5.27,2.07,2.84
2018-02-01,3.62,85.62,5.59,10.55,2.33,3.84
2018-03-01,3.19,80.81,7.09,5.27,3.59,5.55
2018-04-01,7.13,81.56,5.62,5.27,4.59,6.92
2018-05-01,15.08,87.31,4.23,5.27,4.99,7.49
2018-06-01,19.44,84.5,4.17,5.27,6.13,8.05
2018-07-01,23.72,81.88,4.3,5.27,6.23,7.71
2018-08-01,24.61,84.38,4.33,5.27,5.17,6.53
2018-09-01,21.57,85.81,4.6,5.27,3.29,5.44
2018-10-01,15.01,80.5,5.85,5.27,2.89,4.25
2018-11-01,7.73,81.94,6.43,10.55,1.96,3.01
2018-12-01,4.62,81.75,5.59,5.27,1.61,2.47
,12.15,83.38,5.38,5.27,3.75,5.35
2019-01-01,0.98,80.75,6.78,5.27,1.94,2.87
2019-02-01,1.44,81.69,5.83,5.27,2.87,3.95
2019-03-01,3.44,79.94,5.74,5.27,3.96,5.47
2019-04-01,9.83,83.62,5.49,5.27,4.67,6.77
2019-05-01,14.29,86.31,4.84,5.27,5.11,7.59
2019-06-01,19.88,84.81,4.3,5.27,6.12,8.0
2019-07-01,24.51,83.25,3.74,5.27,6.38,7.58
2019-08-01,23.4,81.25,3.83,5.27,5.43,6.8
2019-09-01,20.83,76.38,4.55,0.0,4.5,5.66
2019-10-01,15.93,78.19,6.05,5.27,2.82,4.22
2019-11-01,7.41,76.69,6.19,5.27,2.37,3.09
2019-12-01,4.11,84.94,6.11,5.27,1.48,2.42
,12.23,81.5,5.28,5.27,3.98,5.37
2020-01-01,3.71,81.31,6.03,0.0,1.97,2.82
2020-02-01,3.71,82.06,5.36,5.27,2.66,3.91
2020-03-01,6.71,81.69,5.64,5.27,3.66,5.39
2020-04-01,8.32,80.38,6.3,5.27,4.43,6.92
2020-05-01,12.57,82.06,5.17,0.0,5.95,7.94
2020-06-01,20.15,82.12,4.06,0.0,6.64,8.12
2020-07-01,25.23,81.19,4.11,5.27,6.22,7.65
2020-08-01,24.14,80.12,4.44,0.0,5.25,6.8
2020-09-01,20.52,76.75,4.79,0.0,4.38,5.5
2020-10-01,15.4,80.38,5.12,5.27,2.83,4.13
2020-11-01,10.99,81.12,5.91,5.27,2.29,3.02
2020-12-01,4.64,82.69,6.7,5.27,1.6,2.48
,13.04,81.0,5.3,5.27,3.99,5.39
2021-01-01,1.87,81.12,6.34,2.04,2.01,2.85
2021-02-01,0.99,83.69,6.32,4.52,2.29,3.94
2021-03-01,5.15,79.75,5.89,3.57,4.31,5.55
2021-04-01,9.66,80.0,5.02,2.59,4.96,6.88
2021-05-01,14.32,79.88,4.7,4.48,5.69,7.74
2021-06-01,20.33,84.31,4.45,2.0,6.17,7.96
2021-07-01,23.44,84.94,3.99,9.4,5.61,7.21
2021-08-01,24.12,83.31,3.94,4.83,4.79,6.63
2021-09-01,21.05,82.19,4.95,4.6,4.39,5.57
2021-10-01,17.3,83.44,5.27,4.85,2.9,4.14
2021-11-01,9.1,76.62,5.62,1.13,2.4,3.06
2021-12-01,6.77,79.56,5.27,1.54,1.69,2.43
,12.91,81.56,5.14,3.8,3.94,5.34
