Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,-2.06,80.5,4.17,0.0,2.18,3.0
2018-02-01,3.63,85.5,3.78,5.27,2.4,3.95
2018-03-01,2.62,80.56,4.67,5.27,3.98,5.66
2018-04-01,8.58,76.75,4.16,5.27,4.88,7.02
2018-05-01,18.34,82.44,3.07,5.27,5.13,7.53
2018-06-01,21.26,80.5,2.97,5.27,5.98,8.03
2018-07-01,24.19,77.94,2.84,5.27,6.32,7.79
2018-08-01,24.45,83.56,2.69,5.27,5.63,6.72
2018-09-01,21.47,86.44,2.8,5.27,3.51,5.59
2018-10-01,13.53,82.94,3.36,0.0,3.21,4.41
2018-11-01,5.17,84.56,3.84,5.27,2.21,3.18
2018-12-01,2.7,88.5,3.41,5.27,1.73,2.59
,12.04,82.5,3.48,5.27,3.94,5.46
2019-01-01,-0.9,84.62,4.23,5.27,1.96,3.0
2019-02-01,0.33,86.31,3.7,0.0,2.78,4.05
2019-03-01,3.28,82.88,3.98,5.27,4.14,5.61
2019-04-01,12.22,80.44,4.15,5.27,5.07,6.85
2019-05-01,17.19,83.06,3.4,5.27,5.42,7.66
2019-06-01,21.4,80.31,3.06,5.27,6.52,8.01
2019-07-01,24.97,80.31,2.3,5.27,6.73,7.68
2019-08-01,23.49,79.38,2.31,0.0,5.59,6.9
2019-09-01,21.3,70.31,2.75,0.0,4.76,5.77
2019-10-01,15.56,72.06,3.62,0.0,3.02,4.35
2019-11-01,4.55,74.62,3.55,0.0,2.55,3.25
2019-12-01,2.0,86.62,3.41,5.27,1.66,2.56
,12.18,80.06,3.37,5.27,4.19,5.48
2020-01-01,2.15,82.25,3.8,0.0,2.1,2.96
2020-02-01,3.23,81.38,3.67,0.0,2.77,4.08
2020-03-01,7.51,80.25,3.74,5.27,3.6,5.53
2020-04-01,9.08,76.5,4.51,5.27,4.53,6.96
2020-05-01,14.55,76.75,3.78,0.0,5.68,7.93
2020-06-01,21.67,77.19,2.98,0.0,6.77,8.15
2020-07-01,26.34,74.25,2.47,5.27,6.46,7.66
2020-08-01,24.29,79.75,2.68,5.27,5.24,6.81
2020-09-01,19.59,75.31,2.79,5.27,4.33,5.57
2020-10-01,14.27,80.62,3.04,5.27,3.17,4.29
2020-11-01,9.16,82.31,3.52,5.27,2.51,3.16
2020-12-01,1.69,87.12,3.81,5.27,1.79,2.62
,12.83,79.5,3.4,5.27,4.08,5.48
2021-01-01,-0.06,84.75,3.6,1.53,2.11,2.99
2021-02-01,-0.87,87.75,4.09,4.14,2.44,4.1
2021-03-01,5.86,78.81,4.11,3.23,4.33,5.64
2021-04-01,10.91,77.69,3.75,1.94,5.22,6.96
2021-05-01,15.9,75.38,3.2,3.16,5.81,7.78
2021-06-01,22.01,80.5,2.91,2.89,6.42,8.03
2021-07-01,24.86,77.12,2.46,4.41,6.2,7.38
2021-08-01,24.99,77.56,2.48,4.7,5.08,6.71
2021-09-01,20.55,81.25,3.14,5.79,4.63,5.69
2021-10-01,16.41,83.25,3.16,3.55,3.15,4.33
2021-11-01,6.12,79.69,3.27,0.91,2.6,3.24
2021-12-01,4.68,82.62,3.17,1.05,1.82,2.58
,12.7,80.5,3.27,3.1,4.16,5.46
