Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,14.43,30.38,3.42,0.0,3.66,3.96
2018-02-01,13.98,35.94,2.77,0.0,4.43,5.07
2018-03-01,17.22,29.38,2.82,0.0,5.81,6.5
2018-04-01,23.69,15.88,3.34,0.0,7.24,7.77
2018-05-01,26.86,17.75,3.23,0.0,8.29,8.6
2018-06-01,32.09,15.56,2.95,0.0,8.3,8.81
2018-07-01,34.15,33.38,2.87,0.0,7.46,8.06
2018-08-01,32.91,38.19,2.3,0.0,7.07,7.39
2018-09-01,31.79,27.75,2.45,0.0,6.25,6.56
2018-10-01,21.42,53.75,3.1,5.27,4.57,5.24
2018-11-01,15.49,37.94,2.81,0.0,3.96,4.19
2018-12-01,11.4,46.06,2.75,0.0,3.05,3.58
,23.0,31.88,2.91,0.0,5.85,6.31
2019-01-01,11.26,51.19,2.75,0.0,3.49,3.94
2019-02-01,10.06,54.44,2.89,5.27,4.15,5.1
2019-03-01,16.37,46.56,3.01,0.0,5.81,6.49
2019-04-01,21.4,34.56,3.18,0.0,7.13,7.74
2019-05-01,22.56,31.88,3.01,0.0,7.75,8.47
2019-06-01,31.19,15.62,3.05,0.0,8.46,8.8
2019-07-01,34.58,21.38,3.15,0.0,7.64,8.27
2019-08-01,34.54,26.88,2.7,0.0,7.22,7.6
2019-09-01,29.92,35.88,2.66,0.0,6.12,6.52
2019-10-01,22.27,25.0,3.18,0.0,5.49,5.48
2019-11-01,17.47,37.69,3.34,0.0,3.7,4.09
2019-12-01,10.95,57.06,2.98,0.0,2.81,3.55
,21.94,36.44,2.99,0.0,5.82,6.34
2020-01-01,11.61,49.25,2.77,0.0,3.64,3.94
2020-02-01,12.61,45.62,2.98,0.0,4.68,5.08
2020-03-01,15.79,52.69,2.76,0.0,5.44,6.44
2020-04-01,20.69,37.88,3.01,0.0,7.45,7.77
2020-05-01,27.79,22.31,3.23,0.0,8.39,8.62
2020-06-01,31.59,14.44,3.44,0.0,8.54,8.87
2020-07-01,35.47,21.25,3.05,0.0,7.84,8.3
2020-08-01,35.66,25.0,2.88,0.0,7.05,7.37
2020-09-01,31.47,20.75,2.92,0.0,6.28,6.43
2020-10-01,25.76,17.44,2.84,0.0,5.25,5.37
2020-11-01,18.56,25.25,3.12,0.0,3.93,4.15
2020-12-01,11.37,31.31,3.23,0.0,3.35,3.66
,23.23,30.25,3.02,0.0,5.99,6.34
2021-01-01,11.51,38.0,3.15,0.85,3.39,3.95
2021-02-01,13.55,33.12,2.95,0.0,4.92,5.19
2021-03-01,15.33,32.94,3.36,0.17,5.97,6.57
2021-04-01,22.92,18.69,3.52,0.08,7.42,7.81
2021-05-01,26.64,14.44,3.25,0.02,8.42,8.69
2021-06-01,33.83,14.75,3.37,0.08,8.1,8.57
2021-07-01,32.73,43.06,2.48,3.4,6.63,7.87
2021-08-01,32.06,42.88,2.3,2.49,6.83,7.42
2021-09-01,29.83,40.0,2.27,1.27,5.82,6.38
2021-10-01,22.04,34.88,2.98,0.31,5.09,5.36
2021-11-01,20.05,25.56,2.98,0.01,3.92,4.13
2021-12-01,13.4,47.12,2.62,2.24,2.97,3.56
,22.86,32.19,2.94,0.92,5.79,6.3
