Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,8.18,63.25,3.94,0.0,3.18,4.34
2018-02-01,14.22,74.94,4.36,0.0,2.44,4.97
2018-03-01,18.67,64.38,4.49,0.0,4.82,6.43
2018-04-01,19.85,60.44,4.57,0.0,5.68,7.44
2018-05-01,26.87,62.31,4.28,0.0,6.69,7.91
2018-06-01,29.73,61.25,5.11,0.0,6.73,8.01
2018-07-01,29.75,59.44,3.6,0.0,7.02,7.82
2018-08-01,29.7,59.25,4.02,0.0,6.6,7.36
2018-09-01,25.23,81.75,3.39,10.55,4.28,6.35
2018-10-01,19.81,84.38,4.15,5.27,3.5,5.34
2018-11-01,12.48,75.56,3.89,0.0,3.14,4.44
2018-12-01,10.8,73.56,4.4,0.0,2.93,3.96
,20.48,68.31,4.18,0.0,4.77,6.2
2019-01-01,9.87,75.94,3.84,0.0,3.07,4.28
2019-02-01,13.08,76.19,3.95,0.0,3.1,5.21
2019-03-01,15.81,67.25,4.53,0.0,4.26,6.37
2019-04-01,20.63,66.0,4.74,5.27,5.82,7.43
2019-05-01,24.8,74.69,5.03,5.27,5.06,7.54
2019-06-01,27.96,69.62,3.8,5.27,6.35,7.96
2019-07-01,29.18,61.12,4.05,0.0,7.17,7.9
2019-08-01,32.04,52.25,3.98,0.0,6.69,7.32
2019-09-01,29.88,57.56,4.07,0.0,5.75,6.48
2019-10-01,21.91,58.25,4.34,0.0,4.38,5.45
2019-11-01,14.3,70.38,3.79,0.0,3.04,4.32
2019-12-01,12.21,64.06,3.73,0.0,3.34,3.99
,21.01,66.06,4.16,0.0,4.85,6.19
2020-01-01,13.22,69.25,4.02,0.0,3.1,4.24
2020-02-01,12.15,66.06,4.57,0.0,3.69,5.29
2020-03-01,20.16,71.25,4.27,0.0,3.75,6.2
2020-04-01,20.88,67.12,4.42,0.0,5.27,7.34
2020-05-01,24.76,68.56,4.37,5.27,6.42,7.85
2020-06-01,27.09,67.56,4.04,0.0,6.59,8.02
2020-07-01,30.3,59.94,4.4,0.0,6.84,7.82
2020-08-01,30.79,54.81,3.72,0.0,6.79,7.39
2020-09-01,24.94,70.12,4.26,5.27,4.77,6.29
2020-10-01,21.96,61.69,3.95,0.0,4.63,5.41
2020-11-01,18.37,61.0,3.78,0.0,3.64,4.42
2020-12-01,11.41,62.75,4.16,0.0,3.35,4.01
,21.37,65.0,4.16,0.0,4.91,6.19
2021-01-01,10.67,68.5,4.14,0.51,3.38,4.29
2021-02-01,9.3,70.31,4.45,0.75,3.39,5.17
2021-03-01,17.4,62.56,5.01,0.34,5.0,6.5
2021-04-01,21.44,57.12,4.93,1.54,4.88,7.25
2021-05-01,23.47,78.88,4.5,5.99,5.28,7.7
2021-06-01,26.7,76.94,3.64,2.85,6.22,7.86
2021-07-01,27.06,76.0,3.54,3.96,6.12,7.62
2021-08-01,28.33,71.06,3.49,2.16,6.31,7.24
2021-09-01,27.85,56.75,3.22,2.04,5.98,6.51
2021-10-01,22.55,69.62,3.73,3.74,4.76,5.45
2021-11-01,15.71,70.69,3.76,1.4,3.52,4.39
2021-12-01,16.87,75.5,3.58,0.5,2.76,3.82
,20.68,69.56,3.99,2.16,4.81,6.16
