Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,15.11,56.75,3.23,0.0,3.24,3.9
2018-02-01,13.22,59.75,3.2,0.0,4.44,5.02
2018-03-01,13.8,67.12,2.97,0.0,5.17,6.35
2018-04-01,15.68,62.81,3.13,0.0,6.32,7.57
2018-05-01,15.86,69.38,3.55,0.0,5.71,8.22
2018-06-01,18.87,61.5,2.92,0.0,6.13,8.63
2018-07-01,24.73,55.25,2.52,0.0,6.4,7.99
2018-08-01,24.2,59.25,2.74,0.0,6.47,7.45
2018-09-01,21.59,57.38,2.53,0.0,5.14,6.69
2018-10-01,19.26,61.69,2.65,0.0,4.43,5.3
2018-11-01,16.67,54.06,3.31,0.0,3.6,4.14
2018-12-01,12.83,69.38,2.95,0.0,2.98,3.56
,17.68,61.25,2.98,0.0,5.0,6.24
2019-01-01,12.14,68.94,3.57,0.0,3.24,3.9
2019-02-01,10.14,74.38,4.2,5.27,3.98,4.98
2019-03-01,12.84,76.12,3.23,0.0,5.2,6.34
2019-04-01,15.7,71.0,3.12,0.0,6.05,7.55
2019-05-01,14.76,77.88,3.73,0.0,5.94,8.18
2019-06-01,18.16,68.31,2.52,0.0,4.88,8.5
2019-07-01,21.9,53.81,2.66,0.0,5.86,8.3
2019-08-01,23.15,49.19,2.41,0.0,6.08,7.71
2019-09-01,22.3,59.56,2.73,0.0,5.71,6.58
2019-10-01,19.15,50.25,3.29,0.0,5.22,5.47
2019-11-01,16.68,55.62,2.77,5.27,3.55,4.11
2019-12-01,11.94,71.94,3.38,5.27,2.73,3.54
,16.61,64.69,3.13,0.0,4.88,6.27
2020-01-01,12.27,69.56,2.86,0.0,3.41,3.93
2020-02-01,12.85,62.31,3.25,0.0,4.39,5.05
2020-03-01,12.6,76.56,3.48,5.27,5.06,6.34
2020-04-01,15.28,74.19,3.32,0.0,5.74,7.49
2020-05-01,18.32,69.38,2.94,0.0,7.07,8.35
2020-06-01,18.45,69.56,2.98,10.55,6.14,8.57
2020-07-01,21.33,59.31,2.59,0.0,7.0,8.41
2020-08-01,24.2,54.62,2.63,0.0,6.2,7.49
2020-09-01,24.4,48.62,2.32,0.0,5.61,6.24
2020-10-01,21.23,54.44,2.3,0.0,4.43,5.21
2020-11-01,15.76,59.19,2.77,0.0,3.78,4.16
2020-12-01,13.08,52.81,3.66,0.0,3.08,3.61
,17.5,62.56,2.92,0.0,5.16,6.24
2021-01-01,12.72,59.12,3.83,1.36,3.39,3.93
2021-02-01,12.75,65.12,3.12,0.0,4.44,5.07
2021-03-01,12.09,69.31,3.7,1.53,5.74,6.43
2021-04-01,15.01,67.56,3.14,0.14,6.2,7.59
2021-05-01,16.07,66.75,3.05,0.04,5.9,8.32
2021-06-01,20.52,56.44,2.84,0.03,5.73,8.43
2021-07-01,23.65,52.69,2.69,0.21,6.36,8.03
2021-08-01,23.55,55.94,2.7,0.16,6.04,7.46
2021-09-01,22.05,57.69,2.52,0.11,5.52,6.47
2021-10-01,18.05,61.5,2.91,0.55,4.54,5.31
2021-11-01,17.6,53.81,2.52,0.01,3.45,4.15
2021-12-01,12.21,72.69,3.43,3.12,2.58,3.52
,17.21,61.56,3.04,0.62,4.99,6.23
