Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2018-01-01,10.05,88.38,2.37,5.27,2.24,3.2
2018-02-01,9.41,72.62,2.97,0.0,4.17,4.49
2018-03-01,10.3,80.12,3.11,5.27,4.38,5.95
2018-04-01,12.04,79.62,3.27,0.0,6.24,7.37
2018-05-01,14.11,74.75,4.11,0.0,7.42,8.23
2018-06-01,17.31,66.06,4.41,0.0,8.64,8.84
2018-07-01,20.47,57.5,4.2,0.0,8.13,8.31
2018-08-01,18.93,63.12,3.8,0.0,7.26,7.41
2018-09-01,18.16,62.56,3.33,0.0,6.31,6.42
2018-10-01,16.85,61.62,2.72,0.0,4.64,4.87
2018-11-01,13.37,53.94,2.62,5.27,2.98,3.46
2018-12-01,8.9,83.12,2.7,0.0,2.32,2.92
,14.19,70.31,3.3,0.0,5.4,5.96
2019-01-01,9.66,83.81,3.14,5.27,2.36,3.25
2019-02-01,7.3,86.19,4.25,10.55,3.08,4.45
2019-03-01,10.23,83.94,3.02,5.27,4.46,5.91
2019-04-01,13.31,82.88,3.21,0.0,6.19,7.29
2019-05-01,12.87,81.44,3.8,0.0,6.67,8.2
2019-06-01,18.0,66.5,3.84,0.0,8.33,8.73
2019-07-01,18.65,66.75,4.44,0.0,8.3,8.47
2019-08-01,20.95,61.62,3.9,0.0,7.44,7.64
2019-09-01,19.79,62.75,3.64,0.0,6.11,6.38
2019-10-01,16.23,48.38,2.95,0.0,4.86,4.94
2019-11-01,12.93,63.62,2.29,0.0,3.17,3.51
2019-12-01,9.43,88.56,3.13,5.27,1.96,2.85
,14.15,73.0,3.46,0.0,5.25,5.98
2020-01-01,8.48,90.0,2.62,0.0,2.46,3.24
2020-02-01,10.23,76.56,2.99,0.0,4.41,4.51
2020-03-01,10.05,79.75,2.73,0.0,4.38,5.89
2020-04-01,12.68,77.94,3.38,0.0,6.16,7.33
2020-05-01,16.63,67.0,3.78,0.0,7.47,8.36
2020-06-01,18.98,60.31,4.33,0.0,8.45,8.75
2020-07-01,19.19,60.81,4.26,0.0,8.4,8.52
2020-08-01,21.76,56.56,3.78,0.0,6.96,7.27
2020-09-01,20.79,60.56,2.92,0.0,5.43,5.67
2020-10-01,19.16,49.38,2.59,0.0,4.44,4.6
2020-11-01,11.42,67.69,2.73,0.0,3.27,3.57
2020-12-01,8.93,76.81,2.66,0.0,2.54,2.94
,14.87,68.56,3.23,0.0,5.36,5.89
2021-01-01,9.23,79.75,2.83,3.4,2.51,3.28
2021-02-01,9.37,78.88,3.3,1.13,3.93,4.51
2021-03-01,9.61,74.19,3.38,1.36,5.2,6.03
2021-04-01,12.16,72.31,3.77,0.08,7.13,7.52
2021-05-01,15.15,65.69,4.56,0.01,8.26,8.44
2021-06-01,18.52,61.5,4.56,0.01,8.59,8.71
2021-07-01,19.57,58.56,4.45,0.01,8.12,8.32
2021-08-01,19.53,62.81,3.91,0.0,6.94,7.12
2021-09-01,19.19,60.12,3.34,0.08,6.19,6.25
2021-10-01,15.73,65.25,3.41,4.42,4.2,4.76
2021-11-01,12.08,82.44,2.48,0.84,3.03,3.53
2021-12-01,8.23,89.25,3.03,6.98,1.98,2.91
,14.05,70.88,3.59,1.54,5.51,5.95
