City,State,Total_Population,Median_Household_Income,Median_Home_Value,1_Unit_Detached,1_Unit_Attached,Total_1_Unit
Los Angeles, California,3902440,69778,705900,560667,85691,646358
New York, New York,8736047,70663,660700,331750,257484,589234
Houston, Texas,2293288,56019,200700,434034,48281,482315
Philadelphia, Pennsylvania,1596865,52649,184100,60360,415781,476141
Phoenix, Arizona,1591119,64927,277700,376679,29687,406366
Chicago, Illinois,2742119,65781,277600,326305,43303,369608
San Antonio, Texas,1434540,55084,167700,351701,14325,366026
San Diego, California,1385398,89457,664000,240209,54979,295188
Indianapolis, Indiana,880104,54321,156300,238748,32941,271689
Jacksonville, Florida,937690,58263,203400,245241,20119,265360
Dallas, Texas,1300239,58231,230000,243100,21305,264405
Fort Worth, Texas,908469,67927,212300,227635,10626,238261
Detroit, Michigan,645658,34762,57700,214845,22059,236904
Charlotte, North Carolina,864871,68367,258000,201786,32784,234570
Columbus, Ohio,898143,58575,174400,186236,39837,226073
Austin, Texas,944658,78965,381400,194254,22529,216783
San Jose, California,1013337,125075,986700,176277,39151,215428
Oklahoma City, Oklahoma,673183,59679,168900,201982,9653,211635
Louisville, Kentucky,630260,58357,174400,183214,11016,194230
Baltimore, Maryland,592211,54124,175300,43042,149324,192366
Memphis, Tennessee,634139,43981,113700,175699,14916,190615
Nashville, Tennessee,682646,65565,291400,160529,26316,186845
El Paso, Texas,676395,51325,137600,174328,9745,184073
Portland, Oregon,647176,78476,462800,160520,13578,174098
Las Vegas, Nevada,634786,61356,302100,159893,12221,172114
Denver, Colorado,706799,78177,459100,144462,27336,171798
Albuquerque, New Mexico,562336,56366,214600,157293,13648,170941
Seattle, Washington,726054,105391,767500,144280,20309,164589
Kansas City, Missouri,502597,60042,175400,146275,11181,157456
Tucson, Arizona,538167,48058,177800,128275,19227,147502
Omaha, Nebraska,488059,65359,177700,133793,8301,142094
Virginia Beach, Virginia,457658,81810,295900,103309,36244,139553
Colorado Springs, Colorado,475282,71957,324100,121130,16004,137134
Sacramento, California,518605,71074,385500,121666,13960,135626
Mesa, Arizona,497752,65725,269400,118905,12979,131884
Tulsa, Oklahoma,410652,52438,151500,120242,6117,126359
San Francisco, California,865933,126187,1194500,76462,48544,125006
Wichita, Kansas,394574,56374,145300,115307,7592,122899
Raleigh, North Carolina,462219,72996,285400,93277,29480,122757
Washington, District of Columbia,683154,93547,635900,40951,78885,119836
Fresno, California,538678,57211,273900,113071,5450,118521
Milwaukee, Wisconsin,578198,45318,135600,101310,11202,112512
Atlanta, Georgia,492204,69164,346600,94288,13442,107730
Cleveland, Ohio,374861,33678,74700,95921,11424,107345
New Orleans, Louisiana,383974,45594,255500,87063,19707,106770
Henderson, Nevada,311250,79611,365900,92064,7607,99671
Tampa, Florida,380476,59893,277700,88405,10802,99207
Arlington, Texas,392304,65481,210800,89603,7739,97342
Bakersfield, California,398756,69014,272000,92859,4409,97268
Lexington, Kentucky,321354,61526,216800,85724,9709,95433
Aurora, Colorado,383496,72052,350200,76943,17373,94316
Pittsburgh, Pennsylvania,303207,54306,147600,69426,23350,92776
Toledo, Ohio,271454,41671,87400,87931,4503,92434
Corpus Christi, Texas,318168,59993,157400,87501,2708,90209
Minneapolis, Minnesota,425091,70099,284400,80721,7585,88306
Scottsdale, Arizona,238685,97409,540000,72357,14664,87021
Oakland, California,437548,85628,772400,75420,9406,84826
Fort Wayne, Indiana,262676,53978,130700,79979,3079,83058
St. Petersburg, Florida,258245,64375,242100,78002,4170,82172
