NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"New York city, New York",8736047,70663,660700,331750,257484,452842,328119,236772,231138,578840,3590995,36,51000
"Los Angeles city, California",3902440,69778,705900,560667,85691,43131,92941,132589,145609,200771,1503915,06,44000
"Chicago city, Illinois",2742119,65781,277600,326305,43303,176711,184313,142818,54675,79274,1252478,17,14000
"Houston city, Texas",2293288,56019,200700,434034,48281,18530,42288,73442,120683,71708,990632,48,35000
"Philadelphia city, Pennsylvania",1596865,52649,184100,60360,415781,56413,43658,25604,17704,23788,720688,42,60000
"Phoenix city, Arizona",1591119,64927,277700,376679,29687,8669,29292,36316,39287,25682,624409,04,55000
"San Antonio city, Texas",1434540,55084,167700,351701,14325,12163,32367,46608,50686,29299,585402,48,65000
"San Diego city, California",1385398,89457,664000,240209,54979,10578,31394,52874,41552,34825,545792,06,66000
"Dallas city, Texas",1300239,58231,230000,243100,21305,9090,27443,48886,69666,52481,573597,48,19000
"San Jose city, California",1013337,125075,986700,176277,39151,4822,16772,15066,15993,14668,339550,06,68000
"Austin city, Texas",944658,78965,381400,194254,22529,14393,19015,27605,47749,36769,433129,48,05000
"Jacksonville city, Florida",937690,58263,203400,245241,20119,6520,17565,22020,34112,21531,406409,12,35000
"Fort Worth city, Texas",908469,67927,212300,227635,10626,5961,11980,20854,24807,15185,347206,48,27000
"Columbus city, Ohio",898143,58575,174400,186236,39837,16724,38943,47724,32992,19216,409221,39,18000
"Indianapolis city (balance), Indiana",880104,54321,156300,238748,32941,6827,23674,34182,24012,11567,395536,18,36003
"San Francisco city, California",865933,126187,1194500,76462,48544,39522,45226,38187,37688,41443,404720,06,67000
"Charlotte city, North Carolina",864871,68367,258000,201786,32784,4682,10447,25750,37776,23561,374123,37,12000
"Seattle city, Washington",726054,105391,767500,144280,20309,7578,12691,19402,26139,45203,362809,53,63000
"Denver city, Colorado",706799,78177,459100,144462,27336,9154,10504,14819,26843,34720,335131,08,20000
"Washington city, District of Columbia",683154,93547,635900,40951,78885,10651,24168,25242,30769,24875,344306,11,50000
"Nashville-Davidson metropolitan government (balance), Tennessee",682646,65565,291400,160529,26316,11388,11052,19938,28879,16550,312912,47,52006
"El Paso city, Texas",676395,51325,137600,174328,9745,7128,11866,15954,14982,7629,258295,48,24000
"Oklahoma City city, Oklahoma",673183,59679,168900,201982,9653,5726,10957,19051,17340,7262,294906,40,55000
"Boston city, Massachusetts",672814,81744,610400,36043,18855,38901,70873,33807,23238,26627,300437,25,07000
"Portland city, Oregon",647176,78476,462800,160520,13578,10681,15189,13250,15946,20567,296479,41,59000
"Detroit city, Michigan",645658,34762,57700,214845,22059,20538,8255,8320,9980,12255,327623,26,22000
"Las Vegas city, Nevada",634786,61356,302100,159893,12221,3075,19586,22433,13525,7322,257779,32,40000
"Memphis city, Tennessee",634139,43981,113700,175699,14916,6788,19866,29111,17917,7045,290177,47,48000
"Louisville/Jefferson County metro government (balance), Kentucky",630260,58357,174400,183214,11016,7042,23585,19254,15022,9399,285274,21,48006
"Baltimore city, Maryland",592211,54124,175300,43042,149324,14615,16871,17300,12674,7999,293718,24,04000
"Milwaukee city, Wisconsin",578198,45318,135600,101310,11202,57055,19002,15213,10565,16974,257267,55,53000
"Albuquerque city, New Mexico",562336,56366,214600,157293,13648,4217,16171,11709,11975,11259,252924,35,02000
"Fresno city, California",538678,57211,273900,113071,5450,5189,15623,17257,7540,4858,183951,06,27000
"Tucson city, Arizona",538167,48058,177800,128275,19227,7121,10843,12250,16872,13984,242525,04,77000
"Sacramento city, California",518605,71074,385500,121666,13960,4853,11394,15916,11035,6272,203906,06,64000
"Kansas City city, Missouri",502597,60042,175400,146275,11181,6734,10500,15756,14741,13025,240009,29,38000
