period,stateid,stateDescription,sectorid,sectorName,price,sales,price-units,sales-units
2024-05,AL,Alabama,RES,residential,14.73,2532.77329,cents per kilowatthour,million kilowatthours
2024-05,MN,Minnesota,RES,residential,15.69,1571.5684,cents per kilowatthour,million kilowatthours
2024-05,MI,Michigan,RES,residential,19.44,2477.25469,cents per kilowatthour,million kilowatthours
2024-05,MA,Massachusetts,RES,residential,28.7,1446.62243,cents per kilowatthour,million kilowatthours
2024-05,MD,Maryland,RES,residential,17.63,1858.93542,cents per kilowatthour,million kilowatthours
2024-05,ME,Maine,RES,residential,20.48,386.78962,cents per kilowatthour,million kilowatthours
2024-05,LA,Louisiana,RES,residential,11.49,2325.59426,cents per kilowatthour,million kilowatthours
2024-05,KY,Kentucky,RES,residential,12.94,1895.03048,cents per kilowatthour,million kilowatthours
2024-05,KS,Kansas,RES,residential,14.14,982.46917,cents per kilowatthour,million kilowatthours
2024-05,IA,Iowa,RES,residential,14.23,999.78294,cents per kilowatthour,million kilowatthours
2024-05,IN,Indiana,RES,residential,15.27,2326.71053,cents per kilowatthour,million kilowatthours
2024-05,IL,Illinois,RES,residential,16.71,3605.99777,cents per kilowatthour,million kilowatthours
2024-05,ID,Idaho,RES,residential,11.55,634.93089,cents per kilowatthour,million kilowatthours
2024-05,HI,Hawaii,RES,residential,44.14,211.28723,cents per kilowatthour,million kilowatthours
2024-05,GA,Georgia,RES,residential,14.92,4651.43145,cents per kilowatthour,million kilowatthours
2024-05,FL,Florida,RES,residential,13.63,12160.43599,cents per kilowatthour,million kilowatthours
2024-05,DC,District of Columbia,RES,residential,17.76,171.99937,cents per kilowatthour,million kilowatthours
2024-05,DE,Delaware,RES,residential,17.27,325.14677,cents per kilowatthour,million kilowatthours
2024-05,CT,Connecticut,RES,residential,26.76,882.42463,cents per kilowatthour,million kilowatthours
2024-05,CO,Colorado,RES,residential,14.74,1476.19523,cents per kilowatthour,million kilowatthours
2024-05,US,U.S. Total,RES,residential,16.43,109075.79139,cents per kilowatthour,million kilowatthours
2024-05,PACN,Pacific Noncontiguous,RES,residential,36.22,360.77609,cents per kilowatthour,million kilowatthours
2024-05,PACC,Pacific Contiguous,RES,residential,25.07,9340.16103,cents per kilowatthour,million kilowatthours
2024-05,MTN,Mountain,RES,residential,14.44,8161.82178,cents per kilowatthour,million kilowatthours
2024-05,WSC,West South Central,RES,residential,13.85,17928.66141,cents per kilowatthour,million kilowatthours
2024-05,ESC,East South Central,RES,residential,13.44,8769.38643,cents per kilowatthour,million kilowatthours
2024-05,SAT,South Atlantic,RES,residential,14.46,30003.20892,cents per kilowatthour,million kilowatthours
2024-05,WNC,West North Central,RES,residential,13.73,7305.29371,cents per kilowatthour,million kilowatthours
2024-05,ENC,East North Central,RES,residential,17.07,13596.32177,cents per kilowatthour,million kilowatthours
2024-05,MAT,Middle Atlantic,RES,residential,20.02,10207.89447,cents per kilowatthour,million kilowatthours
2024-05,NEW,New England,RES,residential,26.4,3402.26578,cents per kilowatthour,million kilowatthours
