Years,Accidents,Alzheimer's disease,Cancer,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,COVID-19,Diabetes,Heart disease,Homicide,Hypertension,Influenza and pneumonia,Nephritis,Parkinson's disease,Septicemia,Stroke,Suicide
2021,64.7,31.0,146.6,14.5,34.7,104.1,25.4,173.8,8.2,10.7,10.5,13.6,9.8,10.2,41.1,14.1
2020,57.6,32.4,144.1,13.3,36.4,85.0,24.8,168.2,7.8,10.1,13.0,12.7,9.9,9.7,38.8,13.5
2019,49.3,29.8,146.2,11.3,38.2,,21.6,161.5,6.0,8.9,12.3,12.7,8.8,9.5,37.0,13.9
2018,48.0,30.5,149.1,11.1,39.7,,21.4,163.6,5.9,8.9,14.9,12.9,8.7,10.2,37.1,14.2
2017,49.4,31.0,152.5,10.9,40.9,,21.5,165.0,6.2,9.0,14.3,13.0,8.4,10.6,37.6,14.0
2016,47.4,30.3,155.8,10.7,40.6,,21.0,165.5,6.2,8.6,13.5,13.1,8.0,10.7,37.3,13.5
2015,43.2,29.4,158.5,10.8,41.6,,21.3,168.5,5.7,8.5,15.2,13.4,7.7,11.0,37.6,13.3
2014,40.5,25.4,161.2,10.4,40.5,,20.9,167.0,5.1,8.2,15.1,13.2,7.4,10.7,36.5,13.0
2013,39.4,23.5,163.2,10.2,42.1,,21.2,169.8,5.2,8.5,15.9,13.2,7.3,10.7,36.2,12.6
2012,39.1,23.8,166.5,9.9,41.5,,21.2,170.5,5.4,8.2,14.4,13.1,7.0,10.3,36.9,12.6
2011,39.1,24.7,169.0,9.7,42.5,,21.6,173.7,5.3,8.1,15.7,13.4,7.0,10.5,37.9,12.3
2010,38.0,25.1,172.8,9.4,42.2,,20.8,179.1,5.3,8.0,15.1,15.3,6.8,10.6,39.1,12.1
2009,37.5,24.2,173.5,9.1,42.7,,21.0,182.8,5.5,7.8,16.5,15.1,6.5,11.0,39.6,11.8
2008,39.2,25.8,176.4,9.2,44.7,,22.0,192.1,5.9,8.0,17.6,15.1,6.6,11.3,42.1,11.6
2007,40.4,23.8,179.3,9.1,41.4,,22.8,196.1,6.1,7.6,16.8,14.9,6.5,11.2,43.5,11.3
2006,40.2,23.7,181.8,8.8,41.0,,23.6,205.5,6.2,7.7,18.4,14.8,6.5,11.2,44.8,11.0
2005,39.5,24.0,185.1,8.9,43.9,,24.9,216.8,6.1,8.3,21.0,14.7,6.6,11.4,48.0,10.9
2004,38.1,22.6,186.8,9.0,41.6,,24.7,221.6,5.9,7.9,20.4,14.5,6.2,11.3,51.2,11.0
2003,37.6,22.1,190.9,9.3,43.7,,25.5,236.3,6.1,7.6,22.6,14.7,6.3,11.8,54.6,10.8
2002,37.1,20.8,194.3,9.4,43.9,,25.6,244.6,6.1,7.1,23.2,14.4,6.0,11.9,57.2,10.9
2001,35.7,19.3,196.5,9.5,43.9,,25.4,249.5,7.1,6.9,22.2,14.1,5.9,11.5,58.4,10.7
2000,34.9,18.1,199.6,9.5,44.2,,25.0,257.6,5.9,6.5,23.7,13.5,5.7,11.3,60.9,10.4
1999,35.3,16.5,200.8,9.6,45.4,,25.0,266.5,6.0,6.2,23.5,13.0,5.4,11.3,61.6,10.5
